text,intent
I need to know: calculate the growth in order value.,GROWTH
I need to know: describe the orders table.,TABLE_INFO
How has revenue changed over time?,TREND
Could you which customers contribute the most to total sales?,CONTRIBUTION
Which orders have the highest amounts?,SORT
Can you what is the ranking of products by price?,RANKING
I want to know: list products and their reviews.,JOIN
I need to know: how many orders are there?,COUNT
Can you show products with more than 20 reviews.,HAVING
Find orders that contain order items.,EXISTS
Could you are there invalid orders?,DATA_QUALITY
How many customers have missing values?,NULL_CHECK
Can you hi QueryPilot?,GREETING
Show customer names with the products they purchased.,MULTI_TABLE_JOIN
Can you hey there?,GREETING
Could you show the bottom 50 products by rating.,BOTTOM_N
Please show the trend in sales over time.,TREND
"Can you show customers, orders, and products.",MULTI_TABLE_JOIN
Please give me the distribution of product prices.,DISTRIBUTION
Could you show products along with their orders and customers.,MULTI_TABLE_JOIN
I want to know: show revenue by month.,DATE_AGGREGATION
Could you show orders with customer information.,JOIN
I want to know: change the database password.,UNSUPPORTED_REQUEST
Could you show products priced below 500.,FILTER
Can you this is not a database question?,INVALID_QUERY
I need to know: which product has the largest share of sales?,SHARE
Could you give me the average order value.,AVERAGE
I need to know: how much have orders grown?,GROWTH
I need to know: give me the average order value.,AVERAGE
Find the average review rating.,AVERAGE
Could you compare customer spending.,COMPARISON
I need to know: calculate the average price of products.,AVERAGE
Good afternoon?,GREETING
Please how are orders changing over time?,TREND
Could you calculate each customer's share of total spending.,SHARE
Could you hey,GREETING
I want to know: find orders placed this year.,DATE_FILTER
Can you find products where a field is missing.,NULL_CHECK
Please how are orders and order items related?,RELATIONSHIP_INFO
I need to know: find duplicate orders.,DUPLICATE_CHECK
I want to know: show customers who have placed an order.,EXISTS
Could you what is the total value of all orders?,SUM
Please show the bottom 5 customers by spending.,BOTTOM_N
Can you hi?,GREETING
Please find products that may not have reviews.,LEFT_JOIN
Change the database password.,UNSUPPORTED_REQUEST
Could you show all products including products without reviews.,LEFT_JOIN
Show customers who placed more orders than the average customer.,SUBQUERY
Could you show products ordered by price.,SORT
What is the average customer spending?,AVERAGE
I want to know: modify the database configuration.,UNSUPPORTED_REQUEST
I need to know: show customer information with product reviews.,MULTI_TABLE_JOIN
Can you show period-over-period changes in revenue.,CHANGE_OVER_TIME
Please show the bottom 3 products by rating.,BOTTOM_N
Could you show the top 3 customers by spending.,TOP_N
I want to know: show orders from March.,DATE_FILTER
I want to know: delete all customers.,UNSUPPORTED_REQUEST
Can you which products cost more than the average product?,SUBQUERY
I want to know: delete all orders.,UNSUPPORTED_REQUEST
Which product has the lowest price?,MINIMUM
Find reviews with missing ratings.,NULL_CHECK
Could you show the number of reviews for each product.,GROUP_BY
I want to know: show the bottom 3 customers by spending.,BOTTOM_N
I want to know: rank orders by amount.,RANKING
I want to know: are there missing values in customers?,DATA_QUALITY
Please asdfgh?,INVALID_QUERY
Please how did revenue change between months?,CHANGE_OVER_TIME
I need to know: show unique customer cities.,DISTINCT
I need to know: hi QueryPilot?,GREETING
I need to know: give me the top 10 products with the most reviews.,TOP_N
I need to know: show the top 10 customers by spending.,TOP_N
Can you what tables can I query?,SCHEMA_INFO
What is the mean order amount?,AVERAGE
Give me a breakdown of reviews by product.,GROUP_BY
Could you calculate revenue growth.,GROWTH
Could you show the structure of customers.,TABLE_INFO
Please sort products by price.,SORT
Can you hi QueryPilot,GREETING
Could you what columns are in the order_items table?,TABLE_INFO
Please find duplicate customers.,DUPLICATE_CHECK
Can you list every order with its items if available.,LEFT_JOIN
I want to know: show orders with customer information.,JOIN
Could you find products where a field is missing.,NULL_CHECK
Can you give me the customer count.,COUNT
I want to know: find products where a field is missing.,NULL_CHECK
What columns are in the order_items table?,TABLE_INFO
I need to know: compare customer spending.,COMPARISON
Can you show the top 50 products by rating.,TOP_N
Find products that have at least one review.,EXISTS
Which products appear in order items?,JOIN
Please which orders have the highest amounts?,SORT
Rank products by price.,RANKING
Could you show the distribution of product ratings.,DISTRIBUTION
Please show products without reviews.,NOT_EXISTS
I want to know: rank customers by number of orders.,RANKING
Please order customers by their total spending.,SORT
Show revenue growth over time.,TREND
Can you show monthly order trends.,TREND
Show orders from this year.,FILTER
Please delete all customers.,UNSUPPORTED_REQUEST
Find the largest order amount.,MAXIMUM
I need to know: give me a data quality report.,DATA_QUALITY
Show orders above 1000.,FILTER
Please list distinct customer cities.,DISTINCT
Could you what percentage of products are highly rated?,PERCENTAGE
Can you show orders from this year.,DATE_FILTER
I need to know: calculate total customer spending.,SUM
Please which products have reviews?,EXISTS
Please compare order counts between customers.,COMPARISON
I need to know: show orders from last year.,DATE_FILTER
I want to know: what fields does customers contain?,TABLE_INFO
Can you what is the minimum customer spending?,MINIMUM
What entities are stored in the database?,SCHEMA_INFO
Can you which product has the lowest rating?,MINIMUM
Can you show total sales by customer.,GROUP_BY
I want to know: find the largest order amount.,MAXIMUM
I need to know: show customers and their reviews.,JOIN
Can you how are orders distributed by amount?,DISTRIBUTION
I want to know: calculate the overall order value.,SUM
Calculate the average order value.,AVERAGE
I want to know: what is the total order amount?,SUM
Show the bottom 10 products by price.,BOTTOM_N
I want to know: how many customers have missing values?,NULL_CHECK
What is the sum of all order amounts?,SUM
Could you show the bottom 5 products by price.,BOTTOM_N
"Can you connect customers, orders, order items, and products.",MULTI_TABLE_JOIN
Find products priced below 500.,FILTER
I want to know: what is the ratio of orders to customers?,RATIO
Can you give me the ranking of customers by spending.,RANKING
Which tables can be joined with products?,RELATIONSHIP_INFO
Please find products where a field is missing.,NULL_CHECK
Please what is the growth rate of sales?,GROWTH
I want to know: which products cost more than the average product?,SUBQUERY
I need to know: show the bottom 20 products by rating.,BOTTOM_N
Order products by their price.,SORT
Could you show the top 3 customers by number of orders.,TOP_N
Could you sort products by price.,SORT
Can you show sales growth compared with the previous period.,GROWTH
Could you find products priced above 5000.,FILTER
Can you how are customers and orders related?,RELATIONSHIP_INFO
I want to know: show the number of reviews for each product.,GROUP_BY
Please drop the entire database.,UNSUPPORTED_REQUEST
Show customers and the products they ordered.,MULTI_TABLE_JOIN
I need to know: show orders from January.,DATE_FILTER
Show orders from November.,DATE_FILTER
Can you show products that have received reviews.,EXISTS
asdfgh?,INVALID_QUERY
Can you show sales by month.,DATE_AGGREGATION
Find customers from Pune.,FILTER
Show all customers whether or not they placed an order.,LEFT_JOIN
Find duplicate orders.,DUPLICATE_CHECK
Show changes in order amounts over time.,CHANGE_OVER_TIME
Group customers by orders and show groups with more than 10 orders.,HAVING
Can you what is the mean order amount?,AVERAGE
Show order totals by month.,DATE_AGGREGATION
I need to know: rank customers by number of orders.,RANKING
Can you show customers with missing information.,NULL_CHECK
I need to know: rank orders by amount.,RANKING
Could you which orders have no items?,NOT_EXISTS
List every customer and their orders if they have any.,LEFT_JOIN
Please find duplicate products.,DUPLICATE_CHECK
Could you show the distribution of customer spending.,DISTRIBUTION
Please hey?,GREETING
I need to know: random unrelated question?,INVALID_QUERY
I need to know: show the top 50 products by rating.,TOP_N
Show the top 50 orders by amount.,TOP_N
Can you check customers for duplicate records.,DUPLICATE_CHECK
I need to know: sort products by number of reviews.,SORT
Good afternoon,GREETING
Which products have a rating above the average rating?,SUBQUERY
Could you which product has the largest share of sales?,SHARE
I want to know: show customers whose total spending exceeds 10000.,HAVING
Could you delete every product.,UNSUPPORTED_REQUEST
I need to know: show customers without orders.,NOT_EXISTS
Can you compare sales across two groups.,COMPARISON
I need to know: list unique product categories.,DISTINCT
I need to know: how many product review records are there?,COUNT
I need to know: how are customers and reviews related?,RELATIONSHIP_INFO
Can you which product has the highest price?,MAXIMUM
Please are there missing values in customers?,DATA_QUALITY
I need to know: calculate total revenue from orders.,SUM
I need to know: how are customers and orders related?,RELATIONSHIP_INFO
Can you show customers and the products they ordered.,MULTI_TABLE_JOIN
Please update every customer record.,UNSUPPORTED_REQUEST
Please show order totals by month.,DATE_AGGREGATION
Could you check the database for data quality problems.,DATA_QUALITY
I want to know: show each customer's contribution to total sales.,CONTRIBUTION
Please show the top 10 products by price.,TOP_N
Find products that may not have reviews.,LEFT_JOIN
Can you how have order amounts changed over time?,TREND
Please show products ordered by rating.,SORT
Which products have at least 5 reviews?,HAVING
Can you what is the ratio of reviews to products?,RATIO
I want to know: compare product prices.,COMPARISON
I need to know: list products and their reviews.,JOIN
Please show all unique customer locations.,DISTINCT
I want to know: show orders from July.,DATE_FILTER
Compare customer spending.,COMPARISON
Could you find duplicate customers.,DUPLICATE_CHECK
Compare product prices.,COMPARISON
I need to know: what percentage of products are highly rated?,PERCENTAGE
Please show the bottom 10 customers by number of orders.,BOTTOM_N
Show each product's contribution to total revenue.,CONTRIBUTION
I want to know: what is the ratio between product reviews and products?,RATIO
Show the bottom 3 customers by number of orders.,BOTTOM_N
I need to know: show customers with their orders and order items.,MULTI_TABLE_JOIN
Are there missing values in customers?,DATA_QUALITY
Show orders from May.,DATE_FILTER
Could you show month-to-month changes in sales.,CHANGE_OVER_TIME
I need to know: rank products by rating.,RANKING
I need to know: what is the total sales?,SUM
Please show orders from last month.,DATE_FILTER
Give me the top 10 products with the most reviews.,TOP_N
I want to know: something random?,INVALID_QUERY
"Please show customers, orders, and products.",MULTI_TABLE_JOIN
Can you show orders grouped by year.,DATE_AGGREGATION
I need to know: i don't know what to ask?,INVALID_QUERY
Could you find customers whose spending is above the average customer spending.,SUBQUERY
Could you what is the highest product price?,MAXIMUM
I want to know: show order count by month.,DATE_AGGREGATION
I need to know: analyze the distribution of review ratings.,DISTRIBUTION
I need to know: describe the products table.,TABLE_INFO
I need to know: how many items in the product catalog are there?,COUNT
I need to know: show order count by month.,DATE_AGGREGATION
Could you show orders from highest amount to lowest.,SORT
Can you show the top 10 customers by spending.,TOP_N
Please what is the database structure?,SCHEMA_INFO
I want to know: which table is related to customers?,RELATIONSHIP_INFO
Show products with their reviews.,JOIN
Show orders from June.,DATE_FILTER
Could you good afternoon?,GREETING
Please delete every product.,UNSUPPORTED_REQUEST
I need to know: find duplicate products.,DUPLICATE_CHECK
Can you compare sales between two periods.,COMPARISON
I want to know: find products that have at least one review.,EXISTS
Could you show customers ordered by spending.,SORT
Can you show products ordered by each customer.,MULTI_TABLE_JOIN
Could you calculate total order value for each customer.,GROUP_BY
Please find reviews with missing ratings.,NULL_CHECK
I want to know: give me the total sales amount.,SUM
Please which group has higher sales?,COMPARISON
Can you show all products including products without reviews.,LEFT_JOIN
Could you find orders above the average order amount.,SUBQUERY
Please show monthly order counts.,DATE_AGGREGATION
I want to know: hi,GREETING
Show the top 3 customers by number of orders.,TOP_N
Show products grouped by rating.,GROUP_BY
Can you what share of total sales comes from each customer?,SHARE
I want to know: which product has the highest rating?,MAXIMUM
Show monthly sales trends.,TREND
I want to know: show the top 10 customers by spending.,TOP_N
Please qwerty,INVALID_QUERY
I need to know: what different cities do customers come from?,DISTINCT
Please sort reviews by rating.,SORT
What is the combined value of all orders?,SUM
Show total sales by customer.,GROUP_BY
Find customers who have no orders.,NOT_EXISTS
I need to know: show the top 20 products by price.,TOP_N
Can you what is the ratio of orders to customers?,RATIO
I need to know: find duplicate reviews.,DUPLICATE_CHECK
Sort orders by date.,SORT
Can you show customers with their orders.,JOIN
Could you find the highest order value.,MAXIMUM
Please hi?,GREETING
I want to know: find products that may not have reviews.,LEFT_JOIN
List products and their reviews.,JOIN
I want to know: compare customer spending.,COMPARISON
Show the top 10 products by price.,TOP_N
Can you what is the sum of all order amounts?,SUM
Can you how are customers and reviews related?,RELATIONSHIP_INFO
I want to know: compare order counts between customers.,COMPARISON
Could you show monthly order counts.,DATE_AGGREGATION
I need to know: what is the lowest product rating?,MINIMUM
I need to know: find duplicate customers.,DUPLICATE_CHECK
Could you sort products by number of reviews.,SORT
Could you qwerty?,INVALID_QUERY
Could you what share of total sales comes from each customer?,SHARE
Could you show orders where information is unavailable.,NULL_CHECK
Can you what percentage of customers have placed orders?,PERCENTAGE
Count all the orders.,COUNT
How many reviews are there?,COUNT
Can you give me a breakdown of reviews by product.,GROUP_BY
Can you how many product records are there?,COUNT
Can you show orders from highest amount to lowest.,SORT
I need to know: calculate the percentage of orders from this month.,PERCENTAGE
Show average order amount by month.,DATE_AGGREGATION
Can you show orders grouped by customer.,GROUP_BY
Hi,GREETING
Show each customer's contribution to total sales.,CONTRIBUTION
Please show each customer's contribution to total sales.,CONTRIBUTION
Can you hello there?,GREETING
Please show customers and the products they ordered.,MULTI_TABLE_JOIN
I want to know: show orders grouped by year.,DATE_AGGREGATION
Please analyze the distribution of review ratings.,DISTRIBUTION
I need to know: give me the ranking of customers by spending.,RANKING
Please calculate monthly order totals.,DATE_AGGREGATION
Could you show the top 3 products by rating.,TOP_N
What is the highest product price?,MAXIMUM
Could you give me the ranking of customers by spending.,RANKING
Please list products and their reviews.,JOIN
I need to know: this is not a database question,INVALID_QUERY
Please how much money was generated from orders?,SUM
Can you what different product categories exist?,DISTINCT
Can you give me a breakdown of orders by customer.,GROUP_BY
Can you show orders with their order items.,JOIN
I need to know: what is the combined value of all orders?,SUM
I want to know: drop the entire database.,UNSUPPORTED_REQUEST
Could you which tables can be joined with orders?,RELATIONSHIP_INFO
Could you show the top 5 customers by number of orders.,TOP_N
What percentage of products have reviews?,PERCENTAGE
Please find products that have at least one review.,EXISTS
I need to know: show products priced above the average product price.,SUBQUERY
Find duplicate reviews.,DUPLICATE_CHECK
I want to know: show the bottom 3 orders by amount.,BOTTOM_N
Can you rank all products according to their ratings.,RANKING
Please sort products by number of reviews.,SORT
Can you hi there?,GREETING
Find orders from last month.,FILTER
Please good afternoon?,GREETING
Please show monthly sales trends.,TREND
Please how much did sales change over time?,CHANGE_OVER_TIME
I need to know: show orders from highest amount to lowest.,SORT
Show monthly order trends.,TREND
I want to know: what columns are in the orders table?,TABLE_INFO
I need to know: how many ordered products are there?,COUNT
Show the top 10 customers by spending.,TOP_N
Please are there invalid orders?,DATA_QUALITY
I want to know: find customers who may not have any orders.,LEFT_JOIN
I want to know: explain the foreign key relationships.,RELATIONSHIP_INFO
Please what is the average customer spending?,AVERAGE
Please show customers and their reviews.,JOIN
Can you show products with their reviews.,JOIN
Please check the database for data quality problems.,DATA_QUALITY
I need to know: show the top 5 orders by amount.,TOP_N
I want to know: what is the average product price?,AVERAGE
Can you what percentage of products have reviews?,PERCENTAGE
This does not make sense,INVALID_QUERY
Could you find recent orders.,DATE_FILTER
Can you i need help,GREETING
Could you calculate total customer spending.,SUM
I need to know: find customers from Bangalore.,FILTER
I need to know: list all available tables.,SCHEMA_INFO
Which products have more than 10 reviews?,HAVING
I want to know: show orders from June.,DATE_FILTER
Show the bottom 3 orders by amount.,BOTTOM_N
I need to know: show products with more than 20 reviews.,HAVING
Can you show the top 5 customers by number of orders.,TOP_N
Please check products for duplicate records.,DUPLICATE_CHECK
Please show orders from highest amount to lowest.,SORT
I want to know: show customers and the products they ordered.,MULTI_TABLE_JOIN
Please show products priced below 1000.,FILTER
Please modify the database configuration.,UNSUPPORTED_REQUEST
List products priced below 500.,FILTER
I need help,GREETING
Check the data quality of product reviews.,DATA_QUALITY
I want to know: show each product's contribution to total revenue.,CONTRIBUTION
Could you what percentage of orders are above 5000?,PERCENTAGE
Please what percentage of products have reviews?,PERCENTAGE
Can you i need help?,GREETING
I want to know: show the bottom 10 customers by spending.,BOTTOM_N
Could you which products contribute most to total sales?,CONTRIBUTION
Can you find duplicate orders.,DUPLICATE_CHECK
Could you show the bottom 10 orders by amount.,BOTTOM_N
Could you check products for duplicate records.,DUPLICATE_CHECK
I want to know: list all available tables.,SCHEMA_INFO
I need to know: list customers and their orders.,JOIN
Could you identify duplicate entries in the database.,DUPLICATE_CHECK
Please list every customer and their orders if they have any.,LEFT_JOIN
Please show the top 50 products by price.,TOP_N
Please show the distribution of product ratings.,DISTRIBUTION
Please find reviews with a rating above 4.,FILTER
Please show orders from February.,DATE_FILTER
What columns are in the orders table?,TABLE_INFO
I want to know: find customers who have at least one order.,EXISTS
Show customers with at least 10 orders.,HAVING
Could you which customers have placed more than 5 orders?,HAVING
I need to know: calculate changes in order volume over time.,CHANGE_OVER_TIME
I want to know: show orders from this month.,DATE_FILTER
I want to know: show the number of orders for each customer.,GROUP_BY
I want to know: show order totals by month.,DATE_AGGREGATION
Can you show the bottom 20 products by rating.,BOTTOM_N
Find reviews with low ratings.,FILTER
How are customers and orders related?,RELATIONSHIP_INFO
Show products with high ratings.,FILTER
Could you what columns are in the customers table?,TABLE_INFO
I want to know: how are customers and orders related?,RELATIONSHIP_INFO
Please find products that have no reviews.,NOT_EXISTS
Show the bottom 5 products by rating.,BOTTOM_N
I need to know: find orders without order items.,NOT_EXISTS
Find reviews with a rating above 4.,FILTER
I want to know: list orders from this month.,DATE_FILTER
Show sales growth compared with the previous period.,GROWTH
I need to know: how much money was generated from orders?,SUM
I want to know: which customers have placed more than 5 orders?,HAVING
I want to know: update every customer record.,UNSUPPORTED_REQUEST
I want to know: which products have received reviews?,JOIN
Please how many customers are there?,COUNT
Can you find products priced above 5000.,FILTER
I want to know: random words?,INVALID_QUERY
Can you show the distribution of order amounts.,DISTRIBUTION
Can you do something impossible?,INVALID_QUERY
I need to know: check customers for duplicate records.,DUPLICATE_CHECK
Can you calculate the average price of products.,AVERAGE
Could you show orders with their order items.,JOIN
Can you what is the maximum customer spending?,MAXIMUM
Show the top 50 products by price.,TOP_N
I need to know: show orders from April.,DATE_FILTER
Can you find products that have at least one review.,EXISTS
Could you find the lowest order value.,MINIMUM
Could you find products with missing values.,NULL_CHECK
I want to know: show all products whether or not they have reviews.,LEFT_JOIN
Could you show the bottom 20 customers by number of orders.,BOTTOM_N
Please which product has the highest rating?,MAXIMUM
I need to know: calculate the ratio of orders to customers.,RATIO
Please show the bottom 5 orders by amount.,BOTTOM_N
I want to know: what is the total value of all orders?,SUM
Find orders without order items.,NOT_EXISTS
Can you what different cities do customers come from?,DISTINCT
Can you show the top 3 products by price.,TOP_N
Can you order customers by their total spending.,SORT
I want to know: what columns are in the products table?,TABLE_INFO
Can you show the bottom 10 customers by spending.,BOTTOM_N
I want to know: show the relationships between the tables.,RELATIONSHIP_INFO
Calculate yearly order totals.,DATE_AGGREGATION
I need to know: show all orders including orders without order items.,LEFT_JOIN
I need to know: show orders from February.,DATE_FILTER
Show the distribution of customer spending.,DISTRIBUTION
I need to know: what is the highest product price?,MAXIMUM
I need to know: give me the product count.,COUNT
Could you rank products by rating.,RANKING
Could you order products by their price.,SORT
I need to know: hey?,GREETING
Can you what is the combined value of all orders?,SUM
Please show products with low ratings.,FILTER
I want to know: what is the growth in sales?,GROWTH
Can you compare product prices.,COMPARISON
Could you show the bottom 50 products by price.,BOTTOM_N
I need to know: show the trend in sales over time.,TREND
Can you show order count by month.,DATE_AGGREGATION
I need to know: show the top 20 customers by number of orders.,TOP_N
Show the top 20 customers by number of orders.,TOP_N
Please this is not a database question,INVALID_QUERY
Please show products ordered by price.,SORT
Could you show the bottom 3 customers by number of orders.,BOTTOM_N
Find orders above the average order amount.,SUBQUERY
I need to know: show products ordered by each customer.,MULTI_TABLE_JOIN
Show the top 50 customers by spending.,TOP_N
I want to know: calculate changes in order volume over time.,CHANGE_OVER_TIME
Could you compare order counts between customers.,COMPARISON
Could you show the bottom 5 products by rating.,BOTTOM_N
Show the bottom 5 products by price.,BOTTOM_N
I want to know: list every product with reviews if available.,LEFT_JOIN
I want to know: which customers purchased which products?,MULTI_TABLE_JOIN
Can you asdfgh,INVALID_QUERY
I want to know: check the data quality of orders.,DATA_QUALITY
How many customers are there?,COUNT
Can you random words,INVALID_QUERY
Can you show average rating by product.,GROUP_BY
Calculate total customer spending.,SUM
I need to know: check the database for data quality problems.,DATA_QUALITY
I want to know: show products grouped by rating.,GROUP_BY
Can you show the relationships between the tables.,RELATIONSHIP_INFO
Can you can you do something impossible?,INVALID_QUERY
Could you show the bottom 20 customers by spending.,BOTTOM_N
Could you what is the total number of products?,COUNT
Please what is the maximum order amount?,MAXIMUM
I want to know: how much money was generated from orders?,SUM
Can you show the order trend over time.,TREND
I need to know: what columns are in the orders table?,TABLE_INFO
Could you this does not make sense,INVALID_QUERY
Can you how many items in orders are there?,COUNT
Please rank all products according to their ratings.,RANKING
Please identify repeated customer records.,DUPLICATE_CHECK
I need to know: count all the orders.,COUNT
Could you show the bottom 3 customers by spending.,BOTTOM_N
Show the top 5 products by rating.,TOP_N
I need to know: list every order with its items if available.,LEFT_JOIN
I want to know: how are product prices distributed?,DISTRIBUTION
I need to know: calculate the ratio of high rated products to all products.,RATIO
Which product has the lowest rating?,MINIMUM
I want to know: good afternoon,GREETING
I need to know: can you help me?,GREETING
I need to know: which customers have placed more than 5 orders?,HAVING
Could you find duplicate reviews.,DUPLICATE_CHECK
"Show customers, products, and their reviews.",MULTI_TABLE_JOIN
I need to know: calculate each customer's share of total spending.,SHARE
Please give me the total sales amount.,SUM
Could you hey?,GREETING
Please hello there,GREETING
Could you how are customers and orders related?,RELATIONSHIP_INFO
Which customers have orders?,EXISTS
Please which products appear in order items?,JOIN
How many unique customer cities are there?,DISTINCT
Could you give me the top 10 products with the most reviews.,TOP_N
I want to know: show period-over-period changes in revenue.,CHANGE_OVER_TIME
How many order items are there?,COUNT
Please give me a data quality report.,DATA_QUALITY
I need to know: show customers with missing information.,NULL_CHECK
What percentage of orders are above 5000?,PERCENTAGE
Show all products whether or not they have reviews.,LEFT_JOIN
Can you show customers who placed more orders than the average customer.,SUBQUERY
Show the top 20 products by price.,TOP_N
Could you which products cost more than the average product?,SUBQUERY
Please explain the foreign key relationships.,RELATIONSHIP_INFO
I want to know: which records have null values?,NULL_CHECK
Show products that have received reviews.,EXISTS
Please sort customers by number of orders.,SORT
List all available tables.,SCHEMA_INFO
Could you what is the minimum customer spending?,MINIMUM
I want to know: which customers have the highest spending?,SORT
I want to know: delete all reviews.,UNSUPPORTED_REQUEST
How are customers and reviews related?,RELATIONSHIP_INFO
Can you show monthly sales trends.,TREND
Can you which products have reviews?,EXISTS
Could you show order totals by month.,DATE_AGGREGATION
I need to know: what share of revenue comes from each product?,SHARE
Can you find products with missing values.,NULL_CHECK
Can you what is the number of product records?,COUNT
Please hi,GREETING
Show products priced above 5000.,FILTER
Can you show orders from November.,DATE_FILTER
Could you check the data quality of order items.,DATA_QUALITY
Show orders above 5000.,FILTER
How did revenue change between months?,CHANGE_OVER_TIME
I want to know: show the bottom 20 products by rating.,BOTTOM_N
Show products priced below 1000.,FILTER
How many product records are there?,COUNT
This is not a database question,INVALID_QUERY
"I need to know: show customers, orders, and products.",MULTI_TABLE_JOIN
How have order amounts changed over time?,TREND
Could you list every product with reviews if available.,LEFT_JOIN
I want to know: which product has the largest share of sales?,SHARE
Rank all products according to their ratings.,RANKING
Find customers who may not have any orders.,LEFT_JOIN
I need to know: hello QueryPilot,GREETING
Show orders below 1000.,FILTER
I want to know: calculate the average price of products.,AVERAGE
Can you show the number of orders for each customer.,GROUP_BY
I need to know: calculate monthly order totals.,DATE_AGGREGATION
Please this is not a database question?,INVALID_QUERY
Can you what columns are in the order_items table?,TABLE_INFO
Good morning,GREETING
Can you show the trend in sales over time.,TREND
Show average rating by product.,GROUP_BY
I want to know: how much did sales change over time?,CHANGE_OVER_TIME
Give me the order count.,COUNT
Please show the top 20 orders by amount.,TOP_N
Can you find customers who have at least one order.,EXISTS
Could you which customers purchased which products?,MULTI_TABLE_JOIN
Can you what columns are in the customers table?,TABLE_INFO
Which products have never received a review?,NOT_EXISTS
Could you explain the foreign key relationships.,RELATIONSHIP_INFO
Please calculate the ratio of high rated products to all products.,RATIO
Please which customers have never placed an order?,NOT_EXISTS
Calculate each customer's share of total spending.,SHARE
Can you give me the total sales amount.,SUM
Please find the ratio of customers with orders to total customers.,RATIO
How many product reviews are there?,COUNT
Please rank products by number of reviews.,RANKING
Could you list orders below 1000.,FILTER
Please show customers with their orders.,JOIN
Show products with low ratings.,FILTER
I need to know: what columns are in the order_items table?,TABLE_INFO
I need to know: rank customers by spending.,RANKING
Can you find orders with amounts greater than the average order amount.,SUBQUERY
Can you which product has the lowest price?,MINIMUM
Could you what is the growth rate of sales?,GROWTH
Please asdfgh,INVALID_QUERY
Can you show orders with customers and products.,MULTI_TABLE_JOIN
I need to know: sort products by price.,SORT
Can you show reviews grouped by rating.,GROUP_BY
Show orders from August.,DATE_FILTER
Find orders placed this year.,DATE_FILTER
Can you sort products by price.,SORT
I want to know: show customers without orders.,NOT_EXISTS
Can you show reviews with low ratings.,FILTER
I need to know: show the distribution of customer spending.,DISTRIBUTION
Which product has a higher rating?,COMPARISON
Please calculate the overall order value.,SUM
I want to know: which product has the lowest price?,MINIMUM
Please show orders from July.,DATE_FILTER
Can you how much did sales change over time?,CHANGE_OVER_TIME
Show products along with their orders and customers.,MULTI_TABLE_JOIN
Show products priced below 500.,FILTER
Sort customers by number of orders.,SORT
Please find the largest order amount.,MAXIMUM
Show the top 50 products by rating.,TOP_N
Please show customers with missing information.,NULL_CHECK
I need to know: show revenue growth over time.,TREND
Could you show the bottom 3 products by rating.,BOTTOM_N
Analyze the change in sales over time.,TREND
Can you delete all customers.,UNSUPPORTED_REQUEST
I need to know: show orders grouped by year.,DATE_AGGREGATION
Can you what percentage of orders are above 5000?,PERCENTAGE
Please which ratings have more than 100 reviews?,HAVING
I want to know: show orders from this year.,DATE_FILTER
Please show average order amount by month.,DATE_AGGREGATION
I need to know: show orders with their order items.,JOIN
I need to know: which product has the highest price?,MAXIMUM
Can you show average order amount by month.,DATE_AGGREGATION
Compare sales across two groups.,COMPARISON
Hello there,GREETING
Sort customers by spending.,SORT
I need to know: calculate revenue growth.,GROWTH
Could you asdfgh?,INVALID_QUERY
Please calculate each product's share of total sales.,SHARE
I need to know: drop the entire database.,UNSUPPORTED_REQUEST
I need to know: show sales by month.,DATE_AGGREGATION
Please show the top 50 products by rating.,TOP_N
I want to know: which customers have placed orders?,JOIN
Could you what is the ratio of orders to customers?,RATIO
Can you identify repeated customer records.,DUPLICATE_CHECK
I need to know: find products that have at least one review.,EXISTS
Can you calculate month-over-month sales growth.,GROWTH
Could you hi QueryPilot?,GREETING
Can you show customers whose total spending exceeds the average.,SUBQUERY
I want to know: how many customer orders are there?,COUNT
Please show the structure of customers.,TABLE_INFO
Can you show customer names with the products they purchased.,MULTI_TABLE_JOIN
Please show the distribution of customer spending.,DISTRIBUTION
Please what share of total sales comes from each customer?,SHARE
Can you which customers have the highest spending?,SORT
I need to know: show monthly order counts.,DATE_AGGREGATION
Can you calculate changes in order volume over time.,CHANGE_OVER_TIME
Could you show customer information with product reviews.,MULTI_TABLE_JOIN
Please show customers without orders.,NOT_EXISTS
I want to know: show orders with missing values.,NULL_CHECK
"Can you show customers, products, and their reviews.",MULTI_TABLE_JOIN
I need to know: which customers have never placed an order?,NOT_EXISTS
I need to know: show the top 20 orders by amount.,TOP_N
I want to know: show sales by month.,DATE_AGGREGATION
Show customers whose total spending exceeds 10000.,HAVING
I want to know: list unique product categories.,DISTINCT
Please show orders from September.,DATE_FILTER
Could you show products priced above 5000.,FILTER
I want to know: calculate average rating for each product.,GROUP_BY
Could you list every customer and their orders if they have any.,LEFT_JOIN
Drop the customers table.,UNSUPPORTED_REQUEST
Show orders from this month.,DATE_FILTER
Could you how are orders distributed by amount?,DISTRIBUTION
Can you which tables can be joined with orders?,RELATIONSHIP_INFO
I want to know: random unrelated question,INVALID_QUERY
Can you which customers have written reviews?,JOIN
Can you show the top 3 products by rating.,TOP_N
Can you check products for duplicate records.,DUPLICATE_CHECK
Calculate changes in order volume over time.,CHANGE_OVER_TIME
Can you find the smallest order amount.,MINIMUM
I want to know: calculate the average order value.,AVERAGE
What share of total sales comes from each customer?,SHARE
Show all orders including orders without order items.,LEFT_JOIN
Please calculate the average price of products.,AVERAGE
Could you describe the product_reviews table.,TABLE_INFO
